dormir dormi dormiste durmio dormimos dormisteis durmieron
morir mori moriste murio morimos moristeis murieron
apagar apague apagaste apago apagamos apagasteis apagaron
andar anduve anduviste anduvo anduvimos anduvisteis anduvieron
caber cupe cupiste cupo cupimos cupisteis cupieron
dar di diste dio dimos disteis dieron
decir dije dijiste dijo dijimos dijisteis dijeron
estar estuve estuviste estuvo estuvimos estuvisteis estuvieron
ir fui fuiste fue fuimos fuisteis fueron
ser fui fuiste fue fuimos fuisteis fueron
poder pude pudiste pudo pudimos pudistois pudieron
poner puse pusiste puso pusimos pusisteis pusieron
querer quise quisiste quiso quisirnos quisisteis quisieron
saber supe supiste supo supimos supisteis supieron
tener tuve tuviste tuvo tuvimos tuvisteis tuvieron
traer traje trajiste trajo trajimos trajisteis trajeron
venir vine viniste vino vinimos vinisteis vinieron
ver vi viste vio vimos visteis vieron
